uniprot_id,log_prec_y,Gene ID
rs|NP_001230905.1|NP_001230905.1,0.4852370404184827,100682525.0
rs|NP_001230906.1|NP_001230906.1,0.2585381910762509,100682526.0
rs|NP_001230907.1|NP_001230907.1,0.6323364273871587,100682527.0
rs|NP_001230908.1|NP_001230908.1,0.9933409717433984,100682528.0
rs|NP_001230909.1|NP_001230909.1,0.5416525356655947,100682529.0
rs|NP_001230910.1|NP_001230910.1,0.1362215935298431,100682531.0
rs|NP_001230911.1|NP_001230911.1,0.4803413022493514,100682532.0
rs|NP_001230912.1|NP_001230912.1,0.598668637235603,100682533.0
rs|NP_001230915.1|NP_001230915.1,0.4370470020449458,100682534.0
rs|NP_001230917.1|NP_001230917.1,0.6425777186892714,100682536.0
rs|NP_001230918.1|NP_001230918.1,0.3151580499897031,100682537.0
rs|NP_001230919.1|NP_001230919.1,0.3106091179818341,100682538.0
rs|NP_001230920.1|NP_001230920.1,0.3859835198887911,100682539.0
rs|NP_001230921.1|NP_001230921.1,0.3473593026599904,100684971.0
rs|NP_001230924.2|NP_001230924.2,0.9285229638118976,100689010.0
rs|NP_001230926.1|NP_001230926.1,0.7329789642688087,100689011.0
rs|NP_001230930.1|NP_001230930.1,0.2416571365557495,100689015.0
rs|NP_001230931.2|NP_001230931.2,0.4899616644180779,100689016.0
rs|NP_001230933.1|NP_001230933.1,0.5596018162756948,100689017.0
rs|NP_001230934.2|NP_001230934.2,0.7350855693478623,100689019.0
rs|NP_001230935.1|NP_001230935.1,0.7034902586506313,100689020.0
rs|NP_001230936.1|NP_001230936.1,0.3923376424616432,100689021.0
rs|NP_001230938.1|NP_001230938.1,0.4934198206365182,100689022.0
rs|NP_001230939.1|NP_001230939.1,0.2633289067431032,100689023.0
rs|NP_001230941.1|NP_001230941.1,0.460527321477393,100689025.0
rs|NP_001230942.1|NP_001230942.1,0.7879747015767748,100689026.0
rs|NP_001230945.1|NP_001230945.1,0.4836742279960314,100689028.0
rs|NP_001230946.1|NP_001230946.1,0.2184854886933323,100689029.0
rs|NP_001230947.1|NP_001230947.1,0.5901450814449355,100689030.0
rs|NP_001230948.1|NP_001230948.1,0.7221781150671178,100689031.0
rs|NP_001230949.1|NP_001230949.1,0.3915337908349585,100689032.0
rs|NP_001230955.1|NP_001230955.1,0.3454077644346904,100689038.0
