uniprot_id,log_prec_y
rs|NP_001230905.1|NP_001230905.1,0.48523704041848276
rs|NP_001230906.1|NP_001230906.1,0.2585381910762509
rs|NP_001230907.1|NP_001230907.1,0.6323364273871587
rs|NP_001230908.1|NP_001230908.1,0.9933409717433985
rs|NP_001230909.1|NP_001230909.1,0.5416525356655947
rs|NP_001230910.1|NP_001230910.1,0.1362215935298431
rs|NP_001230911.1|NP_001230911.1,0.48034130224935145
rs|NP_001230912.1|NP_001230912.1,0.598668637235603
rs|NP_001230915.1|NP_001230915.1,0.4370470020449458
rs|NP_001230917.1|NP_001230917.1,0.6425777186892714
rs|NP_001230918.1|NP_001230918.1,0.3151580499897031
rs|NP_001230919.1|NP_001230919.1,0.3106091179818341
rs|NP_001230920.1|NP_001230920.1,0.38598351988879115
rs|NP_001230921.1|NP_001230921.1,0.34735930265999043
rs|NP_001230924.2|NP_001230924.2,0.9285229638118975
rs|NP_001230926.1|NP_001230926.1,0.7329789642688087
rs|NP_001230930.1|NP_001230930.1,0.24165713655574955
rs|NP_001230931.2|NP_001230931.2,0.4899616644180779
rs|NP_001230933.1|NP_001230933.1,0.5596018162756948
rs|NP_001230934.2|NP_001230934.2,0.7350855693478623
rs|NP_001230935.1|NP_001230935.1,0.7034902586506313
rs|NP_001230936.1|NP_001230936.1,0.3923376424616432
rs|NP_001230938.1|NP_001230938.1,0.4934198206365182
rs|NP_001230939.1|NP_001230939.1,0.2633289067431032
rs|NP_001230941.1|NP_001230941.1,0.46052732147739306
rs|NP_001230942.1|NP_001230942.1,0.7879747015767748
rs|NP_001230945.1|NP_001230945.1,0.48367422799603144
rs|NP_001230946.1|NP_001230946.1,0.2184854886933323
rs|NP_001230947.1|NP_001230947.1,0.5901450814449355
rs|NP_001230948.1|NP_001230948.1,0.7221781150671178
rs|NP_001230949.1|NP_001230949.1,0.39153379083495854
rs|NP_001230955.1|NP_001230955.1,0.3454077644346904
rs|NP_001230956.1|NP_001230956.1,0.6445529875758783
rs|NP_001230957.1|NP_001230957.1,0.8145400447706572
rs|NP_001230961.1|NP_001230961.1,0.29268354252037315
